sisben_area,sisben_score,spadies_any,cutoff
Other urban area,-23.68,1,-56.32
Main metro area,-57.13999938964844,1,-57.21
Main metro area,-21.64999961853027,1,-57.21
Main metro area,-59.72000122070313,0,-57.21
Main metro area,-62.81999969482422,0,-57.21
Main metro area,-67.98999786376953,0,-57.21
Main metro area,-65.55999755859375,1,-57.21
Other urban area,-69.30999755859375,1,-56.32
Main metro area,-57.29999923706055,1,-57.21
Main metro area,-33.08000183105469,0,-57.21
Rural area,-26.20999908447266,1,-40.75
Other urban area,-78.16999816894531,0,-56.32
Other urban area,-74.05999755859375,0,-56.32
Main metro area,-68.73999786376953,0,-57.21
Main metro area,-48.47000122070313,0,-57.21
Other urban area,-78.51000213623047,1,-56.32
Main metro area,-65.84999847412109,0,-57.21
Other urban area,-49.22,1,-56.32
Main metro area,-51.18999862670898,1,-57.21
Other urban area,-27.5,0,-56.32
Main metro area,-67.11000061035156,1,-57.21
Main metro area,-68.01000213623047,0,-57.21
Main metro area,-53.47999954223633,1,-57.21
Main metro area,-66.40000152587891,0,-57.21
Other urban area,-64.73000335693359,0,-56.32
Other urban area,-39.66999816894531,1,-56.32
Main metro area,-61.54000091552734,0,-57.21
Main metro area,-59.27000045776367,1,-57.21
Main metro area,-68.04000091552734,1,-57.21
Main metro area,-73.55000305175781,1,-57.21
Main metro area,-62.75,0,-57.21
Main metro area,-24.7,1,-57.21
Other urban area,-56.68000030517578,0,-56.32
Main metro area,-60.97999954223633,0,-57.21
Other urban area,-24.53,0,-56.32
Main metro area,-46.97999954223633,0,-57.21
Other urban area,-35.97,1,-56.32
Main metro area,-41.77999877929688,1,-57.21
Rural area,-15.69,1,-40.75
Other urban area,-57.38999938964844,1,-56.32
Main metro area,-56.33000183105469,1,-57.21
Main metro area,-71.04000091552734,1,-57.21
Main metro area,-72.76000213623047,1,-57.21
Main metro area,-62.86000061035156,0,-57.21
Main metro area,-59.5099983215332,0,-57.21
Rural area,-44.59000015258789,0,-40.75
Main metro area,-63.54999923706055,0,-57.21
Other urban area,-56.52999877929688,0,-56.32
Main metro area,-72.73000335693359,0,-57.21
Main metro area,-59.27000045776367,1,-57.21
Rural area,-75.73000335693359,1,-40.75
Main metro area,-70.37999725341797,1,-57.21
Other urban area,-56.84999847412109,0,-56.32
Main metro area,-77.69000244140625,1,-57.21
Main metro area,-60.63000106811523,1,-57.21
Main metro area,-56.68999862670898,1,-57.21
Other urban area,-6.32,1,-56.32
Main metro area,-50.83,1,-57.21
Main metro area,-74.13999938964844,1,-57.21
Main metro area,-72.55000305175781,0,-57.21
Main metro area,-74.36000061035156,1,-57.21
Main metro area,-13.01000022888184,0,-57.21
Other urban area,-73.70999908447266,0,-56.32
Other urban area,-72.81999969482422,1,-56.32
Main metro area,-24.56999969482422,1,-57.21
Other urban area,-72.76999664306641,1,-56.32
Main metro area,-58.84999847412109,0,-57.21
Main metro area,-68.83999633789063,1,-57.21
Main metro area,-62.40999984741211,0,-57.21
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-29.34000015258789,1,-57.21
Main metro area,-65.13999938964844,1,-57.21
Other urban area,-72.69999694824219,1,-56.32
Main metro area,-62.58000183105469,0,-57.21
Main metro area,-24.35000038146973,1,-57.21
Main metro area,-65.19999694824219,1,-57.21
Main metro area,-79.37000274658203,1,-57.21
Main metro area,-75.87000274658203,0,-57.21
Main metro area,-65.11000061035156,0,-57.21
Main metro area,-78.56999969482422,0,-57.21
Main metro area,-75.30000305175781,1,-57.21
Other urban area,-44.70999908447266,1,-56.32
Main metro area,-64.25,0,-57.21
Main metro area,-74.81999969482422,1,-57.21
Main metro area,-53.43000030517578,0,-57.21
Other urban area,-81.37999725341797,0,-56.32
Main metro area,-33.59999847412109,0,-57.21
Main metro area,-71.16999816894531,0,-57.21
Other urban area,-68.51000213623047,1,-56.32
Main metro area,-26.84,1,-57.21
Other urban area,-39.54999923706055,1,-56.32
Rural area,-62.36999893188477,0,-40.75
Other urban area,-48.97999954223633,1,-56.32
Other urban area,-75.58999633789063,0,-56.32
Main metro area,-67.36000061035156,1,-57.21
Rural area,-59.56000137329102,1,-40.75
Main metro area,-61.34999847412109,1,-57.21
Other urban area,-26.37,1,-56.32
Main metro area,-18.14999961853027,1,-57.21
Other urban area,-72.31999969482422,0,-56.32
Main metro area,-76.16000366210938,0,-57.21
Main metro area,-50.93999862670898,1,-57.21
Main metro area,-65.38999938964844,1,-57.21
Main metro area,-30.29000091552734,0,-57.21
Other urban area,-26.04000091552734,0,-56.32
Main metro area,-69.47000122070313,1,-57.21
Other urban area,-68.5,0,-56.32
Main metro area,-73.55000305175781,0,-57.21
Main metro area,-74.81999969482422,1,-57.21
Main metro area,-40.7400016784668,1,-57.21
Main metro area,-58.84999847412109,1,-57.21
Rural area,-20.12,1,-40.75
Main metro area,-60.40000152587891,1,-57.21
Main metro area,-57.04,1,-57.21
Main metro area,-58.34000015258789,1,-57.21
Main metro area,-52.18999862670898,1,-57.21
Main metro area,-72.83000183105469,1,-57.21
Main metro area,-62.06000137329102,0,-57.21
Rural area,-28.80999946594238,0,-40.75
Other urban area,-61.54999923706055,1,-56.32
Other urban area,-66.48000335693359,0,-56.32
Other urban area,-49.84999847412109,1,-56.32
Main metro area,-62.29999923706055,1,-57.21
Rural area,-17.3799991607666,1,-40.75
Main metro area,-51.02999877929688,1,-57.21
Main metro area,-60.45999908447266,1,-57.21
Main metro area,-31.32999992370605,1,-57.21
Other urban area,-69.12000274658203,1,-56.32
Main metro area,-73.69999694824219,1,-57.21
Other urban area,-73.55999755859375,0,-56.32
Other urban area,-44.02,1,-56.32
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-75.87000274658203,0,-57.21
Main metro area,-60.09999847412109,1,-57.21
Main metro area,-60.88999938964844,1,-57.21
Main metro area,-68.94000244140625,0,-57.21
Main metro area,-59.27000045776367,0,-57.21
Other urban area,-70.79000091552734,0,-56.32
Other urban area,-78.69999694824219,1,-56.32
Other urban area,-70.33000183105469,0,-56.32
Other urban area,-67.12999725341797,1,-56.32
Main metro area,-64.48000335693359,1,-57.21
Main metro area,-53.61999893188477,1,-57.21
Other urban area,-64.25,1,-56.32
Other urban area,-59.86000061035156,0,-56.32
Main metro area,-73.55000305175781,1,-57.21
Main metro area,-61.63000106811523,0,-57.21
Other urban area,-55.86000061035156,0,-56.32
Main metro area,-38.06000137329102,1,-57.21
Rural area,-59.2599983215332,1,-40.75
Other urban area,-38.68,1,-56.32
Other urban area,-78.48999786376953,1,-56.32
Main metro area,-47.95999908447266,1,-57.21
Main metro area,-55.02999877929688,1,-57.21
Other urban area,-76.52999877929688,1,-56.32
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-73.55000305175781,1,-57.21
Other urban area,-71.62000274658203,0,-56.32
Main metro area,-62.43000030517578,0,-57.21
Other urban area,-43.54999923706055,1,-56.32
Main metro area,-63.54999923706055,1,-57.21
Main metro area,-60.25,1,-57.21
Other urban area,-60.16999816894531,1,-56.32
Rural area,-22.72999954223633,1,-40.75
Rural area,-73.98000335693359,1,-40.75
Main metro area,-45.43,1,-57.21
Other urban area,-17.82999992370605,1,-56.32
Other urban area,-82.37999725341797,1,-56.32
Main metro area,-23.76000022888184,1,-57.21
Main metro area,-67.44999694824219,0,-57.21
Main metro area,-31.94000053405762,1,-57.21
Other urban area,-84.55000305175781,0,-56.32
Other urban area,-62.04000091552734,0,-56.32
Main metro area,-71.27999877929688,1,-57.21
Main metro area,-56.18999862670898,1,-57.21
Main metro area,-70.01999664306641,1,-57.21
Other urban area,-29.95999908447266,1,-56.32
Main metro area,-60.34000015258789,1,-57.21
Main metro area,-75.11000061035156,1,-57.21
Other urban area,-71.63999938964844,1,-56.32
Main metro area,-67.69000244140625,0,-57.21
Main metro area,-57.02000045776367,1,-57.21
Main metro area,-48.18999862670898,1,-57.21
Other urban area,-37.72999954223633,1,-56.32
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-35.09000015258789,1,-57.21
Rural area,-45.02000045776367,1,-40.75
Main metro area,-77.80999755859375,0,-57.21
Other urban area,-67.11000061035156,1,-56.32
Other urban area,-59.59999847412109,0,-56.32
Rural area,-11.94999980926514,1,-40.75
Other urban area,-65.13999938964844,0,-56.32
Main metro area,-59.40999984741211,1,-57.21
Main metro area,-78.18000030517578,1,-57.21
Main metro area,-41.13999938964844,1,-57.21
Other urban area,-46.18999862670898,1,-56.32
Main metro area,-51.68999862670898,1,-57.21
Main metro area,-76.73000335693359,0,-57.21
Main metro area,-56.77000045776367,1,-57.21
Other urban area,-19.25,1,-56.32
Main metro area,-55.59999847412109,0,-57.21
Main metro area,-65.06999969482422,0,-57.21
Main metro area,-42.81999969482422,0,-57.21
Other urban area,-84.73999786376953,0,-56.32
Main metro area,-67.41000366210938,1,-57.21
Other urban area,-55.81000137329102,1,-56.32
Other urban area,-79.79000091552734,1,-56.32
Main metro area,-55.63999938964844,0,-57.21
Other urban area,-40.61999893188477,1,-56.32
Other urban area,-75.44999694824219,1,-56.32
Other urban area,-31.79999923706055,0,-56.32
Other urban area,-64.33000183105469,1,-56.32
Other urban area,-33.34999847412109,1,-56.32
Main metro area,-58.0099983215332,0,-57.21
Main metro area,-59.0099983215332,1,-57.21
Rural area,-14.31999969482422,1,-40.75
Main metro area,-66.83999633789063,0,-57.21
Main metro area,-54.43000030517578,1,-57.21
Main metro area,-70.12000274658203,1,-57.21
Main metro area,-54.79999923706055,0,-57.21
Other urban area,-57.90999984741211,0,-56.32
Other urban area,-18.57999992370605,0,-56.32
Other urban area,-24.1200008392334,1,-56.32
Other urban area,-80.58999633789063,0,-56.32
Other urban area,-82.68000030517578,1,-56.32
Other urban area,-47.18000030517578,1,-56.32
Main metro area,-71.87000274658203,0,-57.21
Main metro area,-64.43000030517578,1,-57.21
Main metro area,-78.20999908447266,0,-57.21
Main metro area,-77.69000244140625,1,-57.21
Main metro area,-19,1,-57.21
Main metro area,-22.55999946594238,1,-57.21
Other urban area,-65.51999664306641,1,-56.32
Main metro area,-31.20000076293945,1,-57.21
Main metro area,-41.25,1,-57.21
Main metro area,-64.81999969482422,1,-57.21
Main metro area,-49.81000137329102,1,-57.21
Other urban area,-72.02999877929688,1,-56.32
Other urban area,-79.58000183105469,0,-56.32
Main metro area,-73.30999755859375,1,-57.21
Main metro area,-59.7400016784668,0,-57.21
Other urban area,-37.77999877929688,1,-56.32
Other urban area,-72.33000183105469,0,-56.32
Main metro area,-34.97000122070313,0,-57.21
Main metro area,-62.86000061035156,1,-57.21
Other urban area,-58.04000091552734,1,-56.32
Main metro area,-74.59999847412109,0,-57.21
Other urban area,-61.65000152587891,1,-56.32
Main metro area,-64.51999664306641,1,-57.21
Other urban area,-33.59999847412109,1,-56.32
Other urban area,-58.83000183105469,1,-56.32
Other urban area,-27.95999908447266,1,-56.32
Main metro area,-28.29000091552734,1,-57.21
Other urban area,-47.34000015258789,1,-56.32
Main metro area,-66.81999969482422,0,-57.21
Other urban area,-75.77999877929688,1,-56.32
Main metro area,-27.1200008392334,1,-57.21
Main metro area,-66.66999816894531,1,-57.21
Main metro area,-64.25,1,-57.21
Other urban area,-66.86000061035156,1,-56.32
Main metro area,-61.04000091552734,1,-57.21
Main metro area,-66.54000091552734,1,-57.21
Main metro area,-73.55000305175781,1,-57.21
Main metro area,-57.34000015258789,1,-57.21
Main metro area,-50.61999893188477,0,-57.21
Main metro area,-28.8799991607666,1,-57.21
Other urban area,-58.29000091552734,1,-56.32
Main metro area,-38.93000030517578,1,-57.21
Other urban area,-28.52000045776367,1,-56.32
Main metro area,-62.25,0,-57.21
Main metro area,-60.40000152587891,1,-57.21
Main metro area,-14.14999961853027,1,-57.21
Other urban area,-43.43,1,-56.32
Other urban area,-23.95,1,-56.32
Main metro area,-45.2599983215332,1,-57.21
Other urban area,-25.71,1,-56.32
Main metro area,-58.20999908447266,0,-57.21
Main metro area,-62.83000183105469,1,-57.21
Main metro area,-67.23000335693359,0,-57.21
Other urban area,-76.20999908447266,1,-56.32
Main metro area,-62.45999908447266,0,-57.21
Other urban area,-78.34999847412109,1,-56.32
Main metro area,-57.84999847412109,1,-57.21
Main metro area,-32.31999969482422,1,-57.21
Other urban area,-77.76999664306641,0,-56.32
Main metro area,-57.29999923706055,0,-57.21
Main metro area,-60.45999908447266,0,-57.21
Main metro area,-33.5,0,-57.21
Main metro area,-77.65000152587891,1,-57.21
Main metro area,-77.31999969482422,0,-57.21
Main metro area,-69.33999633789063,0,-57.21
Other urban area,-59.2400016784668,1,-56.32
Main metro area,-48.86999893188477,0,-57.21
Main metro area,-59.25,0,-57.21
Other urban area,-76.15000152587891,0,-56.32
Other urban area,-18.09,1,-56.32
Other urban area,-26.75,1,-56.32
Main metro area,-65.55999755859375,1,-57.21
Main metro area,-61.06000137329102,1,-57.21
Main metro area,-73.52999877929688,0,-57.21
Main metro area,-37.84000015258789,1,-57.21
Other urban area,-85.29000091552734,0,-56.32
Main metro area,-68.45999908447266,1,-57.21
Main metro area,-51.81000137329102,0,-57.21
Other urban area,-24.40999984741211,1,-56.32
Main metro area,-39.25,0,-57.21
Main metro area,-55.54999923706055,1,-57.21
Main metro area,-60,1,-57.21
Main metro area,-57.77999877929688,1,-57.21
Main metro area,-38.90000152587891,1,-57.21
Main metro area,-43.09000015258789,1,-57.21
Main metro area,-50.34000015258789,1,-57.21
Main metro area,-79.84999847412109,0,-57.21
Main metro area,-55.34999847412109,1,-57.21
Main metro area,-61.25,1,-57.21
Main metro area,-48.54000091552734,1,-57.21
Other urban area,-79.93000030517578,0,-56.32
Main metro area,-27.95999908447266,0,-57.21
Main metro area,-26.30999946594238,1,-57.21
Other urban area,-52.20000076293945,1,-56.32
Other urban area,-44.43999862670898,1,-56.32
Main metro area,-41.4,1,-57.21
Other urban area,-70.58000183105469,1,-56.32
Main metro area,-62.86999893188477,0,-57.21
Main metro area,-59,1,-57.21
Main metro area,-34.09999847412109,1,-57.21
Main metro area,-70.72000122070313,1,-57.21
Main metro area,-62.33000183105469,1,-57.21
Main metro area,-54.77999877929688,1,-57.21
Main metro area,-77.69000244140625,0,-57.21
Main metro area,-56.38,1,-57.21
Main metro area,-20.21999931335449,0,-57.21
Other urban area,-59.11000061035156,1,-56.32
Main metro area,-63.25,0,-57.21
Main metro area,-58.04999923706055,1,-57.21
Main metro area,-18.95000076293945,1,-57.21
Main metro area,-54.34999847412109,0,-57.21
Rural area,-35.15999984741211,1,-40.75
Main metro area,-60.88999938964844,1,-57.21
Main metro area,-17.05999946594238,1,-57.21
Other urban area,-57.59999847412109,1,-56.32
Main metro area,-63.70999908447266,1,-57.21
Main metro area,-69.12999725341797,1,-57.21
Main metro area,-60.09000015258789,1,-57.21
Other urban area,-58.11000061035156,1,-56.32
Other urban area,-34.61999893188477,1,-56.32
Other urban area,-58.22000122070313,1,-56.32
Main metro area,-60.29999923706055,0,-57.21
Main metro area,-53.7599983215332,1,-57.21
Main metro area,-46.93999862670898,1,-57.21
Main metro area,-65.59999847412109,0,-57.21
Other urban area,-52.75,1,-56.32
Other urban area,-62.29000091552734,1,-56.32
Main metro area,-52.65,1,-57.21
Rural area,-18.31999969482422,1,-40.75
Main metro area,-62.54999923706055,1,-57.21
Main metro area,-76.86000061035156,0,-57.21
Main metro area,-71.04000091552734,1,-57.21
Main metro area,-27.92000007629395,0,-57.21
Other urban area,-72.90000152587891,1,-56.32
Main metro area,-48.47999954223633,1,-57.21
Other urban area,-74.52999877929688,0,-56.32
Main metro area,-65.77999877929688,0,-57.21
Other urban area,-61.77000045776367,1,-56.32
Main metro area,-64.25,0,-57.21
Main metro area,-68.38999938964844,1,-57.21
Main metro area,-66.33000183105469,0,-57.21
Other urban area,-71.08999633789063,1,-56.32
Main metro area,-66.70999908447266,0,-57.21
Other urban area,-54.0099983215332,0,-56.32
Main metro area,-24.94,1,-57.21
Main metro area,-76.61000061035156,1,-57.21
Main metro area,-50.31,1,-57.21
Main metro area,-51.02000045776367,0,-57.21
Main metro area,-39.11999893188477,1,-57.21
Main metro area,-68.08999633789063,1,-57.21
Main metro area,-64.81999969482422,0,-57.21
Main metro area,-58.4900016784668,1,-57.21
Main metro area,-59.20000076293945,1,-57.21
Main metro area,-50.79000091552734,0,-57.21
Main metro area,-42.95000076293945,1,-57.21
Main metro area,-66.59999847412109,0,-57.21
Other urban area,-46.15000152587891,1,-56.32
Other urban area,-55.65000152587891,0,-56.32
Rural area,-61.90000152587891,0,-40.75
Main metro area,-60.45999908447266,1,-57.21
Other urban area,-7.409999847412109,1,-56.32
Main metro area,-69.87000274658203,0,-57.21
Other urban area,-72.88999938964844,1,-56.32
Other urban area,-40.19,1,-56.32
Main metro area,-32.59,1,-57.21
Main metro area,-53.34999847412109,1,-57.21
Other urban area,-45.95999908447266,1,-56.32
Main metro area,-48.72000122070313,1,-57.21
Other urban area,-65.79000091552734,0,-56.32
Rural area,-30.28000068664551,1,-40.75
Main metro area,-26.90999984741211,1,-57.21
Main metro area,-60.72000122070313,1,-57.21
Main metro area,-68.44000244140625,1,-57.21
Other urban area,-47.11999893188477,1,-56.32
Main metro area,-75.81999969482422,0,-57.21
Main metro area,-25.19000053405762,1,-57.21
Main metro area,-65.87000274658203,1,-57.21
Main metro area,-60.88000106811523,0,-57.21
Other urban area,-41.4900016784668,0,-56.32
Other urban area,-25.79999923706055,1,-56.32
Other urban area,-14.53999996185303,1,-56.32
Main metro area,-45.72999954223633,1,-57.21
Main metro area,-73.09999847412109,1,-57.21
Main metro area,-72.84999847412109,1,-57.21
Main metro area,-59.70000076293945,1,-57.21
Main metro area,-63.79000091552734,1,-57.21
Main metro area,-65.08999633789063,1,-57.21
Main metro area,-62.04999923706055,0,-57.21
Rural area,-18.35,1,-40.75
Main metro area,-44.52000045776367,0,-57.21
Rural area,-74.80999755859375,1,-40.75
Main metro area,-45.79000091552734,1,-57.21
Other urban area,-49.99,1,-56.32
Other urban area,-77.87000274658203,1,-56.32
Main metro area,-72.76000213623047,1,-57.21
Other urban area,-62.65000152587891,1,-56.32
Other urban area,-87.45999908447266,1,-56.32
Other urban area,-26.81999969482422,1,-56.32
Main metro area,-52.61999893188477,1,-57.21
Main metro area,-63.95000076293945,1,-57.21
Other urban area,-23.09000015258789,1,-56.32
Other urban area,-32.97,1,-56.32
Main metro area,-60.45999908447266,1,-57.21
Main metro area,-43,1,-57.21
Main metro area,-32.47000122070313,1,-57.21
Rural area,-22.60000038146973,0,-40.75
Main metro area,-71.04000091552734,1,-57.21
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-48.2,1,-57.21
Main metro area,-67.11000061035156,0,-57.21
Other urban area,-54.59999847412109,1,-56.32
Rural area,-47.58000183105469,1,-40.75
Other urban area,-71.05999755859375,1,-56.32
Main metro area,-54.02999877929688,0,-57.21
Main metro area,-61.63999938964844,1,-57.21
Main metro area,-74.59999847412109,0,-57.21
Main metro area,-71.63999938964844,0,-57.21
Other urban area,-50.47,1,-56.32
Other urban area,-45.68000030517578,1,-56.32
Other urban area,-14.27999973297119,1,-56.32
Main metro area,-55.34999847412109,0,-57.21
Other urban area,-76.45999908447266,1,-56.32
Other urban area,-58.40999984741211,1,-56.32
Other urban area,-61.86999893188477,1,-56.32
Other urban area,-31.6200008392334,1,-56.32
Main metro area,-59.25,1,-57.21
Main metro area,-63.84999847412109,1,-57.21
Main metro area,-27.09000015258789,0,-57.21
Main metro area,-62.31999969482422,0,-57.21
Main metro area,-66.27999877929688,0,-57.21
Main metro area,-60.83000183105469,1,-57.21
Main metro area,-66.59999847412109,1,-57.21
Main metro area,-30.70999908447266,1,-57.21
Main metro area,-70.30000305175781,0,-57.21
Main metro area,-76.90000152587891,1,-57.21
Other urban area,-87.13999938964844,1,-56.32
Main metro area,-50.54999923706055,0,-57.21
Main metro area,-59.54000091552734,1,-57.21
Other urban area,-70.62999725341797,1,-56.32
Main metro area,-62.58000183105469,1,-57.21
Other urban area,-31.02000045776367,0,-56.32
Main metro area,-57.38000106811523,1,-57.21
Rural area,-33.54,1,-40.75
Other urban area,-56.79999923706055,0,-56.32
Other urban area,-63.93999862670898,1,-56.32
Other urban area,-33.33000183105469,1,-56.32
Main metro area,-31.97,1,-57.21
Other urban area,-58.40999984741211,0,-56.32
Other urban area,-67.66999816894531,0,-56.32
Main metro area,-60.45999908447266,0,-57.21
Main metro area,-52.63,1,-57.21
Main metro area,-68.73999786376953,1,-57.21
Other urban area,-69.51999664306641,0,-56.32
Main metro area,-60.29999923706055,1,-57.21
Other urban area,-75.23000335693359,1,-56.32
Other urban area,-37.79999923706055,1,-56.32
Main metro area,-69.58000183105469,0,-57.21
Rural area,-57.59999847412109,1,-40.75
Other urban area,-22.73999977111816,1,-56.32
Main metro area,-32.77999877929688,1,-57.21
Other urban area,-32.97000122070313,1,-56.32
Other urban area,-61.09999847412109,1,-56.32
Main metro area,-63.18999862670898,1,-57.21
Main metro area,-58.97999954223633,0,-57.21
Main metro area,-61.4900016784668,0,-57.21
Main metro area,-63.27000045776367,0,-57.21
Main metro area,-78.91999816894531,1,-57.21
Main metro area,-64.81999969482422,1,-57.21
Main metro area,-64.54000091552734,1,-57.21
Main metro area,-57.84999847412109,0,-57.21
Other urban area,-56.91999816894531,0,-56.32
Other urban area,-70.95999908447266,1,-56.32
Main metro area,-60.40000152587891,1,-57.21
Other urban area,-27.26000022888184,1,-56.32
Main metro area,-63.54999923706055,0,-57.21
Main metro area,-63.61999893188477,1,-57.21
Main metro area,-65.41000366210938,0,-57.21
Rural area,-41.56000137329102,1,-40.75
Main metro area,-67.77999877929688,1,-57.21
Main metro area,-64.13999938964844,0,-57.21
Other urban area,-60.36000061035156,1,-56.32
Other urban area,-42.61,1,-56.32
Other urban area,-58.34999847412109,0,-56.32
Main metro area,-7.400000095367432,0,-57.21
Main metro area,-74.59999847412109,0,-57.21
Main metro area,-27.09000015258789,0,-57.21
Main metro area,-44.22000122070313,1,-57.21
Main metro area,-56.93,1,-57.21
Main metro area,-77.69000244140625,0,-57.21
Main metro area,-45.38,1,-57.21
Other urban area,-61.59000015258789,0,-56.32
Main metro area,-58.68999862670898,1,-57.21
Main metro area,-50.54999923706055,1,-57.21
Main metro area,-64.69000244140625,0,-57.21
Other urban area,-65.09999847412109,0,-56.32
Main metro area,-59.5099983215332,1,-57.21
Main metro area,-69.56999969482422,1,-57.21
Main metro area,-47.61000061035156,1,-57.21
Main metro area,-25.17000007629395,1,-57.21
Main metro area,-73.70999908447266,1,-57.21
Main metro area,-58.93999862670898,1,-57.21
Main metro area,-54.49,1,-57.21
Other urban area,-22.87,1,-56.32
Main metro area,-66.98000335693359,1,-57.21
Other urban area,-44.56999969482422,1,-56.32
Main metro area,-32.38999938964844,1,-57.21
Main metro area,-64.51999664306641,1,-57.21
Main metro area,-29.71999931335449,1,-57.21
Main metro area,-66.33000183105469,0,-57.21
Other urban area,-23.7,1,-56.32
Main metro area,-64.38999938964844,1,-57.21
Other urban area,-70.97000122070313,0,-56.32
Main metro area,-60.13999938964844,0,-57.21
Main metro area,-75.30000305175781,1,-57.21
Main metro area,-31.56999969482422,1,-57.21
Main metro area,-71.91999816894531,0,-57.21
Main metro area,-73.52999877929688,0,-57.21
Main metro area,-50.09999847412109,1,-57.21
Main metro area,-52.63000106811523,0,-57.21
Main metro area,-43.25,0,-57.21
Other urban area,-25.6200008392334,1,-56.32
Other urban area,-72.30999755859375,1,-56.32
Main metro area,-46.4900016784668,1,-57.21
Main metro area,-69.65000152587891,0,-57.21
Main metro area,-48.5,1,-57.21
Main metro area,-70.61000061035156,1,-57.21
Main metro area,-59.33000183105469,0,-57.21
Main metro area,-58.68999862670898,0,-57.21
Main metro area,-65.73000335693359,0,-57.21
Main metro area,-60.65000152587891,1,-57.21
Other urban area,-42.36999893188477,1,-56.32
Main metro area,-59.70000076293945,1,-57.21
Other urban area,-73.13999938964844,0,-56.32
Main metro area,-53.97,1,-57.21
Main metro area,-62.38999938964844,1,-57.21
Main metro area,-58.04000091552734,0,-57.21
Other urban area,-57.81000137329102,1,-56.32
Main metro area,-67.91999816894531,1,-57.21
Rural area,-23.21999931335449,1,-40.75
Main metro area,-75.83999633789063,0,-57.21
Main metro area,-61.77000045776367,1,-57.21
Other urban area,-31.38999938964844,1,-56.32
Main metro area,-69.84999847412109,1,-57.21
Other urban area,-74.54000091552734,1,-56.32
Rural area,-34.77000045776367,0,-40.75
Other urban area,-66.08000183105469,0,-56.32
Main metro area,-44.72999954223633,1,-57.21
Other urban area,-89.73999786376953,0,-56.32
Other urban area,-62.04000091552734,1,-56.32
Other urban area,-74.47000122070313,1,-56.32
Main metro area,-69.51000213623047,1,-57.21
Other urban area,-66.59999847412109,1,-56.32
Main metro area,-69.5,0,-57.21
Other urban area,-70.87000274658203,0,-56.32
Main metro area,-38.61999893188477,1,-57.21
Main metro area,-31.59,1,-57.21
Main metro area,-66.33000183105469,1,-57.21
Main metro area,-70.12000274658203,1,-57.21
Other urban area,-79.45999908447266,0,-56.32
Main metro area,-56.54,1,-57.21
Main metro area,-64.94999694824219,0,-57.21
Rural area,-53.04999923706055,0,-40.75
Other urban area,-68.13999938964844,0,-56.32
Other urban area,-52.37,1,-56.32
Main metro area,-64.26999664306641,0,-57.21
Main metro area,-71.27999877929688,1,-57.21
Main metro area,-66.33000183105469,1,-57.21
Other urban area,-59.72000122070313,0,-56.32
Main metro area,-20.6299991607666,1,-57.21
Main metro area,-42.65000152587891,0,-57.21
Main metro area,-63.11999893188477,1,-57.21
Other urban area,-79.65000152587891,0,-56.32
Main metro area,-43.68,1,-57.21
Main metro area,-48.31000137329102,1,-57.21
Main metro area,-63.27000045776367,1,-57.21
Other urban area,-56.43999862670898,0,-56.32
Main metro area,-37.79999923706055,0,-57.21
Other urban area,-62.40000152587891,0,-56.32
Other urban area,-64.18000030517578,1,-56.32
Other urban area,-32.34000015258789,0,-56.32
Other urban area,-64.87000274658203,1,-56.32
Main metro area,-45.41999816894531,1,-57.21
Main metro area,-71.91999816894531,1,-57.21
Rural area,-61.36000061035156,1,-40.75
Main metro area,-66.37999725341797,1,-57.21
Main metro area,-60.40000152587891,1,-57.21
Main metro area,-57.93000030517578,0,-57.21
Other urban area,-52.22,1,-56.32
Main metro area,-66.26000213623047,0,-57.21
Other urban area,-29.6200008392334,1,-56.32
Other urban area,-67.98000335693359,0,-56.32
Main metro area,-33.02,0,-57.21
Main metro area,-64.87999725341797,0,-57.21
Main metro area,-61.34999847412109,0,-57.21
Other urban area,-73.80000305175781,1,-56.32
Main metro area,-23.5,1,-57.21
Main metro area,-57.34000015258789,1,-57.21
Main metro area,-43.79,1,-57.21
Main metro area,-58.9900016784668,0,-57.21
Main metro area,-55.43000030517578,0,-57.21
Main metro area,-69.81999969482422,1,-57.21
Main metro area,-35.18999862670898,1,-57.21
Main metro area,-48.27999877929688,1,-57.21
Main metro area,-34.95000076293945,0,-57.21
Other urban area,-59.88000106811523,1,-56.32
Other urban area,-33.9900016784668,1,-56.32
Main metro area,-68.73999786376953,1,-57.21
Other urban area,-54.47000122070313,1,-56.32
Main metro area,-56.79000091552734,1,-57.21
Main metro area,-34.86,1,-57.21
Main metro area,-19.44,1,-57.21
Other urban area,-80.80999755859375,0,-56.32
Main metro area,-48.09000015258789,0,-57.21
Main metro area,-53.52999877929688,1,-57.21
Main metro area,-43.18999862670898,1,-57.21
Main metro area,-70.37000274658203,0,-57.21
Main metro area,-74.77999877929688,0,-57.21
Main metro area,-68.5,0,-57.21
Main metro area,-63.54999923706055,1,-57.21
Main metro area,-60.54000091552734,1,-57.21
Main metro area,-63.06999969482422,1,-57.21
Main metro area,-74.90000152587891,0,-57.21
Other urban area,-65.38999938964844,0,-56.32
Main metro area,-37.13999938964844,1,-57.21
Other urban area,-72.75,1,-56.32
